nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
Britain,Ground_vehicles,2020-04-28,1.0 ~ 11.3,1.0,147434.0,3575.5062589749596,50.117012493726,0.0305019873299239,0.03147828859014882,1.7009406242793386,1.5106204132018397
Britain,Ground_vehicles,2020-04-26,1.0 ~ 11.3,1.0,142078.0,3440.142540197571,50.61061360661045,0.030776334126324974,0.03205422373625755,1.723371809850927,1.5306057940004787
Britain,Ground_vehicles,2020-04-22,1.0 ~ 11.3,1.0,135663.0,3285.066123812402,51.17389988427205,0.03129548955868586,0.03251999439788299,1.7658448508436346,1.5524999447159504
Britain,Ground_vehicles,2020-04-18,1.0 ~ 11.3,1.0,129020.0,3127.3460883694665,51.80765431716013,0.032125639435746395,0.03349170671213765,1.808244380716168,1.5781715237947607
Britain,Ground_vehicles,2020-04-16,1.0 ~ 11.3,1.0,123022.0,2983.226591604599,52.53970363024499,0.032775032108078236,0.0338236250426753,1.8538405325876672,1.607483783388337
Britain,Ground_vehicles,2020-04-14,1.0 ~ 11.3,1.0,119262.0,2892.0270104396004,52.94601901695427,0.03293865606815247,0.0336483540440375,1.8820846539551574,1.6275549630225892
Britain,Ground_vehicles,2020-04-09,1.0 ~ 11.3,1.0,113036.0,2880.7044563341806,53.61011775009732,0.033096093280016975,0.03400686506953536,1.914858806044092,1.6582908100074314
Britain,Ground_vehicles,2020-04-05,1.0 ~ 11.3,1.0,108326.0,2762.6576959275485,54.166869634252166,0.03343426324243487,0.03452402931890774,1.931387293909126,1.683160737034507
Britain,Ground_vehicles,2020-04-04,1.0 ~ 11.3,1.0,107473.0,2742.0124188223576,54.30625626901641,0.03365589496896895,0.034706391372716874,1.9346971797567758,1.687905334363049
Britain,Ground_vehicles,2020-04-01,1.0 ~ 11.3,1.0,104792.0,2674.4297856024996,54.712551721505456,0.03437266203526987,0.03545738224291931,1.938023894953813,1.7003689212917013
Britain,Ground_vehicles,2020-03-30,1.0 ~ 11.3,1.0,104057.0,2656.411736195867,54.80943088883977,0.034551639966556795,0.03568140538358784,1.9433818964605933,1.7042331606715548
Britain,Ground_vehicles,2020-03-28,1.0 ~ 11.3,1.0,102565.0,2616.8430652338934,55.02674167601033,0.034914346999463754,0.03575937210549408,1.9484904207088187,1.7050368059279482
Britain,Ground_vehicles,2020-03-26,1.0 ~ 11.3,1.0,100768.0,2563.5364843241996,55.362942005398544,0.03499652667513496,0.03567412273737695,1.948712388853604,1.7017584947602413
Britain,Ground_vehicles,2020-03-24,1.0 ~ 11.3,1.0,100354.0,2551.601376342035,55.49181348027981,0.03509556171154115,0.0360042449727963,1.9480905594196545,1.7010110209857103
Britain,Ground_vehicles,2020-03-21,1.0 ~ 11.3,1.0,99762.0,2537.985066840032,55.91495659670015,0.036306208776889004,0.03660592209458512,1.9304138850464105,1.6977904412501754
Britain,Ground_vehicles,2020-03-19,1.0 ~ 11.3,1.0,99351.0,2528.9545071082753,56.16224597638674,0.03628670068746163,0.03711407031635313,1.9235854696983423,1.6979323811536877
Britain,Ground_vehicles,2020-03-15,1.0 ~ 11.3,1.0,94234.0,2549.004809683493,56.462923148757355,0.03811872572532207,0.04130154721225885,1.8893700787401575,1.6764846021605788
Britain,Ground_vehicles,2020-03-14,1.0 ~ 11.3,1.0,94234.0,2549.004809683493,56.462923148757355,0.03811872572532207,0.04130154721225885,1.8893700787401575,1.6764846021605788
Britain,Ground_vehicles,2020-03-10,1.0 ~ 11.3,1.0,93548.0,2609.6277658070117,57.04888549193997,0.03994879633984692,0.04448037371189122,1.8843601145935776,1.6707861204942918
Britain,Ground_vehicles,2020-03-08,1.0 ~ 11.3,1.0,93637.0,2660.1802789851595,57.353859905806466,0.04199963689567158,0.046051987996198085,1.8852697117592403,1.6688522699360295
Britain,Ground_vehicles,2020-03-01,1.0 ~ 11.3,1.0,103549.0,3036.3163980797676,58.38474548281489,0.046182290509806954,0.049461124684931766,1.8598806362205331,1.6626158630213717
Britain,Ground_vehicles,2020-02-25,1.0 ~ 11.3,1.0,111850.0,3411.507826787577,59.21385793473402,0.04941332141260616,0.05361779168529281,1.8123833705856058,1.6433587840858292
Britain,Ground_vehicles,2020-02-21,1.0 ~ 11.3,1.0,120141.0,3747.6374732110403,60.02130005576781,0.05162467434098268,0.056173246435438355,1.7811625506696296,1.6327427772367467
Britain,Ground_vehicles,2020-02-16,1.0 ~ 11.3,1.0,130679.0,4307.852680377472,60.98037986210486,0.05230182355236878,0.05842201118771952,1.7372476832543864,1.6208350997482381
Britain,Ground_vehicles,2020-02-11,1.0 ~ 11.3,1.0,144743.0,4785.36877906424,61.8357807976897,0.052499671832143865,0.05903035034509441,1.686327559881998,1.610552427405816
Britain,Ground_vehicles,2020-02-08,1.0 ~ 11.3,1.0,150950.0,4964.854644253065,62.13454123882081,0.05255442199403776,0.059709506459092426,1.6639352765816497,1.604515402451143
Britain,Ground_vehicles,2020-02-04,1.0 ~ 11.3,1.0,155688.0,5104.600247748244,62.480776810030314,0.052396652278916815,0.05990403884692462,1.6516533066132264,1.6013997867529932
Britain,Ground_vehicles,2020-02-01,1.0 ~ 11.3,1.0,157708.0,5134.608221115697,62.79320186674107,0.05169414360717276,0.059386714687904234,1.6517451238998655,1.601919750424836
Britain,Ground_vehicles,2020-01-28,1.0 ~ 11.3,1.0,157103.0,5064.435189334386,63.069186711902375,0.05009878869276844,0.057818182975500156,1.6590605526310762,1.604887621496725
Britain,Ground_vehicles,2020-01-24,1.0 ~ 11.3,1.0,151270.0,4829.863241365959,63.21634084749123,0.047893501685727514,0.05547669729622529,1.681893105043961,1.622825147087988
Britain,Ground_vehicles,2020-01-20,1.0 ~ 11.3,1.0,145063.0,4595.572366160778,63.22607377484266,0.047543274301510376,0.0542553924846446,1.7043969172014921,1.6352209040210115
Britain,Ground_vehicles,2020-01-16,1.0 ~ 11.3,1.0,136152.0,4273.306145232639,63.38149759092778,0.04700584640695694,0.053161540043480816,1.7422623979082201,1.6504224690052294
Britain,Ground_vehicles,2020-01-10,1.0 ~ 11.3,1.0,121225.0,3773.788562668788,63.533445493916275,0.04666883893586306,0.052502454114250356,1.7924354712311816,1.6755206434316354
Britain,Ground_vehicles,2020-01-06,1.0 ~ 11.3,1.0,110423.0,3438.7555040724346,63.7418631987901,0.04560671236970558,0.051108826965396696,1.830221602383561,1.6973102523930705
Britain,Ground_vehicles,2019-12-28,1.0 ~ 11.3,1.0,100371.0,3110.0481825759766,64.17465044684221,0.043696585667174784,0.04927249902860388,1.8804604915762524,1.7272913490948583
Britain,Ground_vehicles,2019-12-23,1.0 ~ 11.3,1.0,97891.0,3001.3037463680453,64.48638628678836,0.0438119949740017,0.04831690349470329,1.9020686273508287,1.7331633142985563
Britain,Ground_vehicles,2019-12-17,1.0 ~ 11.3,1.0,97889.0,2973.5162614944334,64.5218519956277,0.043559031147524234,0.046418494417145954,1.9137546608914178,1.7330650021963652
Britain,Ground_vehicles,2019-12-14,1.0 ~ 11.3,1.0,97811.0,2952.146036257486,64.49643312101911,0.04291276032348099,0.04653944852828415,1.924423633333674,1.7355285192871968
Britain,Ground_vehicles,2019-12-09,1.0 ~ 11.3,1.0,97652.0,2895.6755078041947,64.0654818129685,0.041718858804735186,0.04488448777290788,1.9334404825298,1.7315978167369843
Britain,Ground_vehicles,2019-12-07,1.0 ~ 11.3,1.0,94234.0,2778.8190262184207,63.95442006069996,0.041585308911857716,0.04393743234925824,1.9352821699174396,1.7280253411719764
Britain,Ground_vehicles,2019-11-25,1.0 ~ 11.3,1.0,67905.0,1918.6935736901341,62.09777792504234,0.03580075104926,0.03740063323761137,1.9190499963183858,1.6914658714380384
Britain,Ground_vehicles,2019-11-22,1.0 ~ 11.3,1.0,67614.0,1869.22320859867,60.858398408613596,0.03197074570355252,0.03317094092939332,1.9085820983819919,1.6708958203922266
Germany,Aviation,2022-01-31,1.0 ~ 11.3,1.0,113012.0,1979.9287948504261,58.68867146851662,1.0938511839450678,1.312186139525006,1.304516600007079,1.4286067851201643
Germany,Aviation,2022-01-28,1.0 ~ 11.3,1.0,113716.0,2023.4250032700893,58.565615920363015,1.095732878398818,1.3061590277533504,1.3199263955819764,1.440961781983186
Germany,Aviation,2022-01-25,1.0 ~ 11.3,1.0,113008.0,2030.1706899461738,58.43812792014725,1.1020664023785927,1.3070921527679458,1.3467861567322665,1.4661632804757185
Germany,Aviation,2022-01-22,1.0 ~ 11.3,1.0,110740.0,2001.5060873163768,58.27222774065378,1.1131118836915297,1.3064006682318945,1.3747713563301427,1.493083528986816
Germany,Aviation,2022-01-19,1.0 ~ 11.3,1.0,107499.0,1949.0724669994918,58.19816668062029,1.1262842445046,1.3075863031284012,1.4074889068735525,1.5270388561754062
Germany,Aviation,2022-01-16,1.0 ~ 11.3,1.0,103441.0,1874.294566545264,58.21210342127396,1.1397972757417272,1.3123388211637552,1.44473419630514,1.568566235825253
Germany,Aviation,2022-01-13,1.0 ~ 11.3,1.0,99606.0,1804.38545978406,58.2919198642652,1.1479434973796758,1.3172974519607252,1.479481657731462,1.603639941368994
Germany,Aviation,2022-01-10,1.0 ~ 11.3,1.0,95941.0,1740.6431679918182,58.33519235780322,1.1541993516848896,1.3222625363504654,1.5128934449296962,1.6360291220646022
Germany,Aviation,2022-01-07,1.0 ~ 11.3,1.0,93202.0,1703.824970066878,58.38941664341967,1.152490289907942,1.325570803201648,1.5437057144696464,1.6660884959550222
Germany,Aviation,2022-01-04,1.0 ~ 11.3,1.0,91123.0,1685.6117851077365,58.498487758304705,1.143821647663049,1.323916464558893,1.5668090383328028,1.6968066240136956
Germany,Aviation,2022-01-01,1.0 ~ 11.3,1.0,90353.0,1696.2903171653384,58.82085442652707,1.131036711564641,1.3158363308357222,1.5867697807488406,1.7206259891757882
Germany,Aviation,2021-12-29,1.0 ~ 11.3,1.0,90421.0,1729.2540498172784,59.146976034328304,1.1168079317857578,1.3012873115758508,1.5977112617644131,1.7335938554096948
Germany,Aviation,2021-12-26,1.0 ~ 11.3,1.0,90871.0,1769.6126657390876,59.442014834215534,1.1049568069020919,1.2918449230227464,1.6008758569840764,1.7431145249859692
Germany,Aviation,2021-12-23,1.0 ~ 11.3,1.0,92166.0,1825.638299816734,59.783040709155216,1.089587266454007,1.2882424104333485,1.5946308834060283,1.7457290106980883
Germany,Aviation,2021-12-20,1.0 ~ 11.3,1.0,93595.0,1883.1177444150662,60.1246577274427,1.0763518350339227,1.2884764143383727,1.5809691757038304,1.7413808429937496
Germany,Aviation,2021-12-17,1.0 ~ 11.3,1.0,94664.0,1919.663291784239,60.34420740725091,1.0684697456266372,1.2887624651398633,1.570208210090425,1.7392810360855235
Germany,Aviation,2021-12-14,1.0 ~ 11.3,1.0,100228.0,1977.1782193665545,60.68599104042783,1.0681318593606577,1.3066079339106837,1.502251865746099,1.6777596080935466
Germany,Aviation,2021-12-11,1.0 ~ 11.3,1.0,100099.0,1980.832574819111,61.091119791406506,1.069194397546429,1.3158493091839079,1.4979986813055075,1.68038102278744
